cluster_id,summary,original_reviews
-1,"sandisk ultra 64 gb microsdxc class 10 uhs 1 memory card with adapter works perfectly. it can transfer files, videos, and music faster, but not at this price if you are an everyday user - this will work wonders for your device!","[""this is a great memory card that i've put into my phone for music and picture storage. it works exactly as advertised."", ""great sd card. i use it in a galaxy s3, and have no complaints.its quite fast, and works. i don't know what else to say.you can't go wrong with sandisk."", ""this went into my new samsung galaxy light cell phone to store my music files and my cell phone photos. zero problems. these sd cards just work until the don't . sandisk is a top brand and i have no trouble recommending this. look through the many dozens of other recommendations, too. class 10 uhs 1 is one of the fastest protocols available currently."", ""i'm always happy with a sandisk purchase. i am currently using this microsdxc in my cellphone samsung g4, which is more than enough for pictures, videos, and document downloads. very fast read and write."", ""works perfectly!!! couldn't ask for a better card and price was good too. got two one for each smart phone and my wife loves hers too finaly got lots of free space.sandisk ultra 64 gb microsdxc class 10 uhs 1 memory card with adapter..."", ""i've always bought sandisk sd cards, and have never been disappointed. this one is no exception. i'm using it in my galaxy s iii and have no problems. transfer speeds are as advertised. great card, great price."", ""i use this card in my smartphone and it works great. it's fast and roomy i got the 16gb version enough to store all the music and video i need. it was immediately recognized by my samsung smartphone when i put it in about 6 months ago and i've had no reason to take it out ever since."", 'awesome little sd card, my phone is 32gb but i still wanted more for music and videos and this totally works great, as soon as i put it on my phone read it and also it is fast.. i am happy with my purchase..', ""works as specified, received in good condition from amazon, using since a few months, in a smartphone, it doesn't get better than this if you're using sandisk in terms of speed and space. you can expect speeds upto 28 mb sec for write, about 30mb sec for read, with the provided adapter, speeds ar always better for both read write, using smartphone to read write, speeds would be lesser mostly, but average should be 20mb sec anyways as per what i've seen and i'm a heavy user, like if there is a 256gb microsdxc available, i would actually buy it, tried the extreme version with 80mb sec, costs 2 times of this one, but works similar to this, so dont waste money on name that doesnt deliver, buy this if you're buying to sandisk"", ""i really don't know that the complaints other posted were all about, but i have bought 3 of these sandisk micro sd card already. for my phone, my wife and my daughter's phone. store lots of movies, pictures. videos....etc. all works just fine, no issues at all."", ""card works great. it shipped very quickly. it doesn't hold 64gb of data, more like 59gb but either way it gives me all the space i need on my phone for music and pictures."", 'works great, my phone detected and let me format it to fat32 with no additional tools. once formatted its 59gb you lose some in the conversion metric from gib to gb. bought it for my motorola droid x first generation phone, i wanted to use it as a media player and it works wonderfully and has lots of storage for my movies, music, games and books. its a class 10 card so its also very fast, certainly faster than the stock card.', ""replaced another brand class 10 32 gb micro sd card for my phone. i didn't know how bad i had it before i put this in and started transferring files. it was so much faster than my previous one. i am pleased.no issues with delivery or description."", 'there are a lot of other reviews on this memory card. my only addition is that it worked perfectly the moment i put it into my s4 no formatting issues, nothing ... it just worked. also nice that it comes with an sd adapter.', ""i put this in my galaxy note ii and put a bunch of music and pdfs on it. i also used it to save videos and photos. it worked well for about 2 months then, on christmas day today , it said that there was an error reading the card and the card was now blank. my phone no longer recognizes the card and even putting it into its adapter and sticking it in the sdhc reader of my laptop doesn't work.if this is sandisk quality, then i am not impressed. i am going to have to deal with their warranty replacement but i'd rather have a refund than get another card that might fail after 2 months..."", ""i got this to allow me to store and move movies and photos. it holds a lot and playing videos straight from the card works fine. so, it does what i needed it to do. you generally can't go wrong with genuine sandisk products."", ""so i'm not going to pretend to be an expert on sd cards, but i still like this one. it is relatively inexpensive, works wonderfully for the movies i want to store and watch on my samsung galaxy tab 7 2.0, and i haven't had a single problem with storage yet."", ""this microsdhc card makes its job pretty well. it is fast enough to rely your data on any mobile device. haven't had any complaints so far."", ""this little microsdhc memory card from sandisk is equal to their reputation. it is fast enough and large enough to store and stream full length movies that we've ripped from our own dvd collection. this is a perfect addition to our new smartphones. we bought three of these for our recently purchased smartphones.highly recommended by me."", 'bought this for my girlfriend.the card works very nice and is a great way to up your storage on your cell phone.this is currently in a samsung galaxy s4.', 'i have always had good luck with sandisk memory cards. this one is no exception. fast works great in my galaxy s4 and never a problem with any i have purchased.', 'currently using this in a samsung galaxy s4,with zero issues just put it in your phone and you are good to go. apps also seem to run faster off this card than internal memory. taking photos videos at full hd definitely goes quicker than my old 32gb sandisk card. definitely recommend this product.', ""i've heard bad things about this 64gb micro sd card crapping out after a few weeks but sk far so good. transfer speeds are normal but i like to be space. for the price it was a steal!would recommend."", 'i bought this micro sd card for my galaxy note 2 about 5 months ago and its been great. plug and play with no problems. it recognized it immediate and right after i was able to transfer 20gb of videos music to my phone right away. the transfer speed is good and is what i was expecting from reading guides on these type of sd cards. this is a good product and i recommend it to anyone looking for a sd card.', ""i got this for my samsung galaxy note. after reading various reviews and comparing different micro sd cards, i decided to get this. one of the main reason was because of the speed of this card uhs 1 . the card has been good to me and i'm happy with my purchase."", ""i bought this to expand storage in my samsung galaxy reverb. i was getting 8 10 mb s transfer speed while transferring mp3s on my commodity sd card reader kodak brand, 10 15 at any supermarket electronics section . it is worth noting that uhs 1 cards basically revert to class 10 if your hardware isn't uhs 1 compatible.i've been using the card for a month or so and have never had trouble with it no read errors, no mount errors, no bad sectors.i got mine on a black friday sale, so the value was great. do some price shopping if the price is good, you can't go wrong with this if you want a big micro sd card. as usual, sandisk is a good way to go."", 'love this 32gb micro sd card. i put it in my samsung galaxy note phone. i just returned from a 3 day trip where i used it as my camera video recorder. i kept it on hd quality the whole time. no problems at all. the only reason i did not give it a 5 star rating was because it actually only had 29gb of space instead of 32. if that is the norm then please excuse my ignorance!', ""love it makes my tablet work so much faster,because it take up alot of memory that would be on the internal storage,,free's alot of space, i've got a bunch of music and movies downloaded on this micro card and only using about 1 4 of it memory. thanks i would recommend this,to anyone whole loves music and movies on the go!"", 'good write performance. it sped up the time to load my pictures as well. this was a good buy. there are lots of manufacturers for memory cards but i feel most confident with sandisk.', 'i am very happy with this micro sd. i could tell the difference in the response time in my bb curve as well as my asus tablet. if you want something that can transfer files photos, videos, and music faster this is the micro sd card for you. now i will say this there are faster cards out there but not at this price. this does the trick for my devices. now it you are a professional photographer you might want to go with the ultra 3 micro sd but if you are an everyday user this will work wonders for you device.']"
0,"card fits my garmin gps and allows me to take oodles of photos along for viewing. it comes with a standard sdhc adapter, as most micro-shdc cards do - plenty of space for extra files on the pcs. satisified with the purchase.","[""my gps has plenty more space now to update it's maps. it works so that is all there is to know."", ""i use this in my gps unit older model and it works great! no complaints. i use a 16 gb in my phone and it's more than enough room! pictures, music, etc."", ""i use this card in my 7 34 igo gps. the gps came with a couple of gb onboard, but that was quickly used up by wince 6 and that gps software. since this device also plays mp3s, i wanted more space.i read the meager documentation that came with the device to see if it could handle a 16gb card. i was pretty sure it would handle an 8gb card, but one never knows with these ever changing specifications. unfortunately, the documentation for this device was meager and written in pidgin english.ok, i'll buy it and give it a try. at worst, i swap out my 8gb card from a different device, which hopefully will handle the 16gb card.well, too make a long story short too late for that, eh? , the 16gb card works just fine. i put a bunch of my mp3s on the card, put it into the device, and sure enough, it recognizes and plays them.so, pretty much a done deal. for the price, for the ease of use, for the name brand, i recommend this little card."", 'this card has worked flawlessly so far. i use it in my garmin montana 600 and it allows me to load all my usgs 1 24,000 quads us sw, w, s central, n central and inland lakes i was at first concerned that the 600 would not take 32 gb micro sd but no problem.', ""purchased this product for a new 7 34 garmin gps. the refresh rate is so much faster than on my wife's similar but smaller 5 34 garmin with class 4 memory."", 'i got this for my handheld gps. it stores data not already stored in the main memory.', ""i'm using this in a gps system. i've found that they eventually run out of space and can no longer be updated until you insert a micro sd card, so i got it ahead of time in order to avoid that moment of panic when it arrives."", ""i purchased this micro memory card for my gps. when i updated the maps recently, the gps ran out of room and i could no longer put the entire us map in it. this card fits neatly into the gps slot, and adds enough memory for the gps to work. i haven't had this fix in place for long, so don't know about how well it will continue to work. the adapter looks to be handy if i have another use for the card."", ""i purchased this product to install in my garmin gps unit, since it was full and couldn't handle the new map updates. easily and securely installed, this memory card promises to provide a long life to my gps unit."", ""while updating maps for my nuvi 40 i received a message stating i needed more memory to download new versions of maps that i required.this was probably a bit of overkill, but the price was right, so i ordered one. two days later, i installed it and it worked flawlessly with mucho memory left for future needs. will be buying a few more of them for other uses, can't go wrong with this card!!!see ya'"", 'the recent map update on my garmin gps ran it out of memory. maps are getting more and more detailed. i used this to up the memory and got back to the full north america map. it cam with the adapter to fit my pc sd slot too.', ""i got the 16gb card for my garmin gps. the gps's memory could be expanded so that more maps and info could be saved. the memory card works as described. i've used sandisk for many electronics and i have never had a problem. they are sometimes a little more expensive than other brands but i think the little extra is worth it."", 'this item works great with the garmin dash cam 10 and garmin hand held topographic gps. good value deal for the money.', 'this is an amazing memory chip card. at less than half the size of a regular postage stamp, this card fits my garmin gps and allows me to take oodles of photos along for viewing. and, it comes with an adapter to allow using it in my pc with one of the many multi card readers. 32 gigabytes in such a tiny card and at a very reasonable price. highly recommended.', 'i needed extra storage in my garmin for additional topo maps and routes, and this card fits the bill. it comes with a standard sdhc adapter, as most microsdhc cards do. plenty of space for extra files on the gps. satisified with the purchase.', ""29.71 g appeared upon installing. i'd say it worked as excepted and wished. 5 stars quality. worth the money there."", ""if there is anyone out there curious if this works on garmin's gpsmap line of handhelds, then yes! all 32gbs are recognized, and i am maxing this baby out with every map i can get my hands on! no issues at all.some forums may have you believe there is a 4gb limitation, but there simply isn't fat32 which is the format of the card, has a 4gb limit on file size, but that's fine as all individual garmin maps are under 4gb"", ""i went to update my garmin gps with the latest maps and it told me that the entire map wouldn't fit us, canada and mexico . it said i could put the maps on an sd card to get the whole map set or else i had to pick only a portion of the lower 48 states it wouldn't even fit the entire us only . t don't understand why as everything fit before.so, i picked up this sd card for the unit and it worked perfect. i now have the entire map set on the gps. i just have to always leave the sd card in the unit which for me, isn't a big deal as i wasn't using the sd card for anything else before."", ""bought this one for the hubbys gps, works just great haven't heard any complaints out of him since i installed it. thank you"", 'as to be expected this sandisk works as advertised in my garmin 850 gps. i am satisfied with this product.', 'this card works great with my garmin zumo gps unit. i mainly use it to hold vast numbers of songs, and it works great for that. it is fast enough that my nuvo has no difficulty accessing the memory and i note no slowdown in performance of the gps. comes with an adaptor so you can use it in a regular sd card reader. for my needs this one is perfect, hence the five star rating. rjb.', 'needed this to be able to update my garmin with canada and europe maps. did the job and at a great price.', ""bought for garmin gps. works very well. also has adapter for sdhc size memory card to plug into reader if you don't have a micro card reader""]"
1,"the chips are currently on the market, looking forward to the 256gb ones. the chip has increased the memory and it took everything he needed and worked without a problem.","['it does what it is made to do. it is hard to believe so much memory can be stored in such a small chip.', ""got this for my cell phone, most likely more storage than i will ever need but at this price going with a lower capacity chip just wouldn't save that much money and didn't make sense. exactly as pictured worked without a problem."", 'i bought this chip to be used to increase the use of my smart phone and it has increased the memory. at least for now.', 'we were going on vacation and i wanted to take a bunch of digital media for the long plane flights and for chilling during downtime. this chip took everything i needed and worked without issue. glad to see the 128gb chips on the market, looking forward to the 256gb ones!']"
2,fast recording downing speed can be used with my smartphone. this guy is the fastest. he's a great guy for recording all of your ill advised shenanigans with your friends.,"[""fast recording downing speed. you can't go wrong wit this. it also can be used with my smartphone.i would recommend this to a friend."", ""it's fast fast fast, and big big big. it's exactly what you need to record all of your ill advised shenanigans with your friends."", ""if you like to see videos on tablets or phones, you'll end up needing this guy. and this is the fastest. very good for recording too.""]"
3,"if you buy a tablet that supports 32gb just get one, or two. use this in my new galaxy tab and the price was just right.","['have not had any issues, works as intended. i would recommend this and the price was just right. so, if you buy a tablet that supports 32gb just get one, or two.', 'does exactly what you would expect, use this in my new galaxy tab and not disappointing as always a great product']"
4,"samsung note ii recognized about 59.8 gigs. the unit is able to hold all my apps and data with ease, but it works exactly how he hoped it would.","['this is my 4th unit that i had purchased from sandisk. used it in a sony z tablet, note 2, s4, q10 and most recently the sony z1 smartphone. data transfer speeds are quick and you get consistent transfers without any errors.a worth buy!', ""when i first got this item, i had some problems with it and for some reason, caused all my data on my android phone to get deleted forcing me to reinstall my custom rom and use my previous sd card until amazon replaced this one. but once i got the replacement, it worked perfectly. i have no issues with it at all now and for the past several months, its able to hold all my apps and data with ease. with the high read write speeds, i don't have any lag and it just works exactly how i hoped it would."", ""i read some reviews about the product being iffy, and mislabeled, but the one i got was just as advertised. my samsung note ii recognized about 59.8 gigs, and the read write speed is incredible. with the help of this, isyncr and rocket player, i have now permanently replaced my ipod classic. couldn't be happier.""]"
5,read and write speeds seem good and am happy with this card so far. transfers to it are faster than the transfer to the internal storage.,"['i had issues getting other cards to be recognized by the nvidia shield. no issues with this one. read and write speeds seem good and am happy with this card so far.', ""popped this into my nvidia shield for extra storage. it was recognized instantly and was easy to transfer files over.i haven't had it for too long to comment about failures in some of the reviews, but will update accordingly. so far recommended!"", 'popped it in my nvidia shield and it worked instantly. transfers to it are faster than the transfers to the internal storage.', 'i used this sd card on my nvidia shield and works as advertised very quick transfer speeds.']"
6,the card is noticeably faster than the class 4 card he replaced with a class 4.1 x 64 gb micosdxc card for my aging toshiba notebook. it was added to my shopping cart at 46.99 and the following day the price dropped to 37.99 - the cards has been stable so far,"['i use this card in a galaxy note 10.1 and i have been very pleased with its performance. it is noticeably faster than the class 4 card i replaced. i use it for storing and then watching movies, and it plays them back with no observable buffering time. it is also fast for writing photos or videos that i shoot using the camera on the tablet. and the cost was among the lowest for cards of this storage size and speed class.', 'i bought this card to go with my new samsung galaxy note 10.1 2014 edition. after using it for a few days with only the onboard storage, i felt the need to have a little more space. the price for this card was just right, and i have always had great success with sandisk memory devices, whether they are usb or sd or what have you. i use this card to take all sorts of music and movies with me whenever i have to go anywhere, and there is absolutely no lag or hiccuping on playback. i also set this card as the default to store photos and videos taken with the tablet, and there is no noticeable delay when taking photos. this card works so well, i just bought a second one to replace an old 8gb card in my phone.', 'i have been using this memory card for several months now and it is working great. it is wonderful to have a huge selection of ebooks, mp3 files, movies and plenty of space for phone generated photos and video clips.i have not noticed any delay in accessing files on this huge memory card.8 14 13 update also worked out of the box in my samsung galaxy note 10.1 .', ""i searched for an inexpensive 64 gb micosdxc card for my new samsung galaxy note 10.1 2014 edition 32gb tablet and this one caught my eyes regarding positive comments and price. the note was a christmas gift and it will be used for media entertainment while on business travel and as a replacement for an aging toshiba notebook. there were no problems with the install ... the card was recognized upon boot up after the installation. i don't require great transfer speeds for my tasks. a quick test using es file explorer copying a 400 mb media file from the tablet os card to this expansion card yielded 10 mb s write and 40 mb s read speed, which is more than sufficient for all my tasks. as a bonus, i added this card to my shopping cart at 46.99 and the following day the price dropped to 37.99. that was all the incentive needed to push the 34 place your order 34 button. i can't speak much of reliability since i've had the card installed for less than two weeks. so far it has been stable.""]"
7,expandable memory is dirt cheap these days for how much you get. it works like a charm.,"['does the job as advertised.if you need extra memory on your phone tablet or whatever device, this is bext buy price quality', 'does exactly what it is supposed to. plenty of storage for me gps. price was not too high either. would recommend.', ""this is great! this is why i don't buy apple products and get charged up the for non expandable memory. expandable memory is dirt cheap these days for how much you get and it's more reliable than apple. works like a charm. i've got two of these, one in my phone and one in my tablet, and i've never had any problem or inconvenience with either of them.""]"
8,the data does not show in my cowon j3 if it is not available for the device that is nsc specific. it's taking 10 hours to transfer 30 gb to the card at class 1 speed.,"[""this card would not show 64 gb until i spent 60 on a card reader that supports sdxc, and after doing that, it is transferring at class 1 speed. i managed to get it formatted in fat32 with 59 gb free for my cowon j3, but it's taking 10 hours to transfer 30 gb to it. i got a refund because this is not the service and quality i paid for. i just hope the music lists on my pmp when i turn it on tomorrow. i have it in the microsdxc slot of the aft pro 57u, which is connected to a syba via vl800 usb 3.0 card. feel free to tell me i am doing it wrong and how to get class 10 speed.update the transfer finished, but the data does not show in my cowon j3, so the early versions that worked are gone. do not buy these for a device that is not sdxc specific because they have changed something in them."", ""i am using this 64 gb card onsamsung galaxy note ii n7100 unlocked gsm international version white. i coped over 50 gb podcasts music. it took several hours to copy from a 3 year old laptop. after copying, the inbuild samsung's music player recognized all and playing is very smooth. the card looks super fast, no reading. after booting the phone, the music is indexed almost immediately and i can play. i have attached a screenshot which shows only 59 gb is available. the 5 gb seems lot to be missing. i am assuming it is used for storing some index information some restore information.""]"
